,1,2-3,4-10,11-25,CM,MC-WD-DNF,
Edoardo Molinari,0,0,0,0,0,2.5,
Bradley Dredge,0,0,0,0,1,1.5,
Peter Hanson,0,0,0,0,1,1.5,
Soomin Lee,0,0,0,0,0,2.5,
Nacho Elvira,0,0,0,0,1,1.5,
Jeff Winther,0,0,0,0,0,2.5,
Chris Paisley,0,0,0,0,1.5,3.5,
Jacques Kruyswijk,0,0,0,0.5,0,2,
Richie Ramsay,0,0,0,0,1.5,3,
Wu Ashun,0,0,0,0,0.5,2,
Charlie Ford,0,0,0,0,1,1.5,
Laurie Canter,0,0,0,0,0,2,
Jason Scrivener,0,0,0,0,0,4.5,
Tapio Pulkkanen,0,0,0,0,0,2.5,
Chris Hanson,0,0,0,0,0,2.5,
Bradley Neil,0,0,0,0,0.5,2,
Haydn Porteous,0,0,0,0,1.5,1,
Marc Warren,0,0,0,0,1.5,1,
Peter Whiteford,0,0,0,0,0,1,
Andrew Dodt,0,0,0,0,1.5,1,
Raphael Jacquelin,0,0,1,0,0,1.5,
David Howell,0,0,0,0,0,2.5,
Gregory Havret,0,0,0,0,0,2.5,
Richard Bland,0,0,0,0,0.5,2,
Lee Slattery,0,0,0,0,0,2.5,
David Drysdale,0,0,0,0,1,1.5,
Daniel Im,0,0,0,0,0,2.5,
Ashley Chesters,0,0,0,1,0,1.5,
Jeunghun Wang,0,0,0,0,1.5,1,
Chase Koepka,0,0,0,0,0,2.5,
Alvaro Quiros,0,0,0,0,0,2.5,
S.S.P. Chawrasia,0,0,0,0,0,2.5,
Adrien Saddier,0,0,0,1,0.5,1,
Nino Bertasio,0,0,0,0,0.5,2,
Ryan Evans,0,0,0,0,0,4.5,
Matthias Schwab,0,0,0,0,0,2,
Sebastien Gros,0,0,0,0,0.5,2,
Thomas Bjorn,0,0,0,0,1,1.5,
Matthew Baldwin,0,0,0,0,0,2,
Daniel Brooks,0,0,0,0,1.5,1,
Paul Waring,0,0,0,0,1.5,3,
Romain Wattel,0,0,0,0,1,1.5,
Callum Shinkwin,0,0,0,0,0,2.5,
Renato Paratore,0,0,0,0,1,1.5,
Gregory Bourdy,0,0,0,0,1,1.5,
Mikko Ilonen,0,0,0,1,0,1.5,
Thomas Aiken,0,0,0,0,1,1.5,
Sam Brazel,0,0,0,0,0,2.5,
Jamie Donaldson,0,0,0,0,0,1.5,
Pablo Larrazabal,0,0,0,0,1,1.5,
Carlos Pigem,0,0,0,0,0,2.5,
Conor O'Neil,0,0,0,0,0,1,
